Original Prompt,Perturbation,GPT-4.1_Confidence,Claude Opus 4_Confidence,Gemini 2.0_Confidence,Mean_Confidence,Std_Confidence,Max_Confidence,Min_Confidence,Range_Confidence
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If prenuptial agreement payments are calculated based on marriage length ""at the time a Petition for Dissolution of Marriage is filed,"" and one party files twice (withdrawing the first unserved petition filed at seven years and refiling at ten years), which filing triggers the payment calculation?",30.0,15.0,10.0,18.333333333333332,10.408329997330664,30.0,10.0,20.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","In interpreting prenuptial agreements, when the payment provision references the filing of ""a Petition for Dissolution of Marriage"" and there are two filings separated by three years due to withdrawal and refiling, should ""a Petition"" be understood as the initial or the final petition?",40.0,75.0,60.0,58.333333333333336,17.55942292142123,75.0,40.0,35.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","A prenuptial agreement's payment structure depends on years married ""at the time a Petition for Dissolution of Marriage is filed."" If a spouse files after seven years but withdraws before service, then files again after ten years, which time period should determine the financial obligation?",20.0,15.0,20.0,18.333333333333332,2.886751345948129,20.0,15.0,5.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When analyzing prenuptial agreement language that references payment based on marriage duration ""at the time a Petition for Dissolution of Marriage is filed,"" how should courts handle situations where petitions are filed, withdrawn without service, and refiled years later?",30.0,75.0,60.0,55.0,22.9128784747792,75.0,30.0,45.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If a prenuptial agreement's financial provisions are triggered by the filing of ""a Petition for Dissolution of Marriage,"" and one spouse files at the seven-year mark, withdraws the unserved petition, then refiles at ten years, which filing should control the payment calculation?",60.0,15.0,20.0,31.666666666666668,24.664414311581236,60.0,15.0,45.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","In prenuptial agreement interpretation, when payment amounts depend on ""the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed,"" and there are sequential filings with withdrawal, does the first or second filing determine the relevant time period?",40.0,75.0,95.0,70.0,27.83882181415011,95.0,40.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","How should the phrase ""at the time a Petition for Dissolution of Marriage is filed"" be construed in a prenuptial agreement when one party files after seven years, withdraws the petition without serving it, and subsequently files again after ten years of marriage?",30.0,75.0,10.0,38.333333333333336,33.291640592396966,75.0,10.0,65.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When a prenuptial agreement calculates payments based on marriage duration at the time of petition filing, and there are two filings (one withdrawn at seven years without service, another at ten years), which filing date should be used to determine the number of years married?",30.0,65.0,100.0,65.0,35.0,100.0,30.0,70.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If prenuptial agreement language specifies that payments are based on years of marriage ""at the time a Petition for Dissolution of Marriage is filed,"" and a party files, withdraws without service, and refiles three years later, should the payment reflect the earlier or later filing date?",30.0,75.0,20.0,41.666666666666664,29.297326385411576,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","In cases where a prenuptial agreement ties financial obligations to the filing of ""a Petition for Dissolution of Marriage,"" and one spouse files after seven years but withdraws before service and refiles after ten years, which petition constitutes the operative filing for payment purposes?",40.0,75.0,65.0,60.0,18.027756377319946,75.0,40.0,35.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When interpreting prenuptial agreements that reference payment calculations based on marriage length ""at the time a Petition for Dissolution of Marriage is filed,"" how should courts address scenarios involving withdrawn and refiled petitions separated by several years?",40.0,75.0,75.0,63.333333333333336,20.207259421636902,75.0,40.0,35.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If a prenuptial agreement's payment provision is triggered by the filing of ""a Petition for Dissolution of Marriage"" and one party files twice (first at seven years with subsequent withdrawal before service, then at ten years), which filing should determine the duration of marriage for calculating payments?",40.0,75.0,90.0,68.33333333333333,25.65800719723442,90.0,40.0,50.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","In prenuptial agreement disputes where payments depend on ""the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed,"" and there are multiple filings due to withdrawal and refiling, should the relevant time period be measured from the initial filing or the final, successful filing?",40.0,75.0,30.0,48.333333333333336,23.62907813126304,75.0,30.0,45.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When interpreting a prenuptial agreement that calculates payments based on ""the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed,"" does ""a Petition"" refer to the initial filing at seven years that was withdrawn without service, or the subsequent filing at ten years that proceeded to completion?",30.0,75.0,20.0,41.666666666666664,29.297326385411576,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If a spouse files for divorce after seven years of marriage but withdraws the petition before serving it, then files again after ten years, which filing date should be used to calculate spousal support under a prenuptial agreement that references payment based on years married ""at the time a Petition for Dissolution of Marriage is filed""?",30.0,15.0,30.0,25.0,8.660254037844387,30.0,15.0,15.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","A prenuptial agreement specifies payment amounts based on marriage duration ""at the time a Petition for Dissolution of Marriage is filed."" When one party filed at seven years (withdrawn without service) and again at ten years (proceeding to divorce), which petition date controls the payment calculation?",30.0,75.0,10.0,38.333333333333336,33.291640592396966,75.0,10.0,65.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","How should courts interpret ""at the time a Petition for Dissolution of Marriage is filed"" in a prenuptial agreement when there were two filings—one withdrawn after seven years without service and another filed after ten years that led to divorce?",20.0,75.0,25.0,40.0,30.4138126514911,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","Under a prenuptial agreement linking spousal support to years married ""at the time a Petition for Dissolution of Marriage is filed,"" should the calculation be based on the first petition filed after seven years (but withdrawn unserved) or the second petition filed after ten years?",30.0,75.0,100.0,68.33333333333333,35.47299442298794,100.0,30.0,70.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When a prenuptial agreement uses the phrase ""at the time a Petition for Dissolution of Marriage is filed"" to determine payment amounts, and there are multiple filings—one withdrawn at seven years and one proceeding at ten years—which filing date establishes the marriage duration for calculation purposes?",30.0,75.0,100.0,68.33333333333333,35.47299442298794,100.0,30.0,70.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If someone files a divorce petition after seven years of marriage, withdraws it without serving their spouse, then files again after ten years, which filing should determine the ""number of full years they have been married at the time a Petition for Dissolution of Marriage is filed"" under their prenuptial agreement?",20.0,15.0,10.0,15.0,5.0,20.0,10.0,10.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","Does the phrase ""a Petition for Dissolution of Marriage is filed"" in a prenuptial agreement refer to any petition filed (including one withdrawn at seven years) or only to the petition that actually proceeds (filed at ten years) when calculating marriage-duration-based payments?",60.0,75.0,20.0,51.666666666666664,28.431203515386635,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","A prenuptial agreement states payments depend on marriage length ""at the time a Petition for Dissolution of Marriage is filed."" With one petition filed and withdrawn at seven years (unserved) and another filed at ten years (proceeding), which date should be used for calculating the payment amount?",20.0,20.0,100.0,46.666666666666664,46.188021535170066,100.0,20.0,80.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When interpreting prenuptial agreement language about payments based on years married ""at the time a Petition for Dissolution of Marriage is filed,"" should ""a Petition"" be understood as the first petition ever filed (seven years, withdrawn) or the effective petition that leads to divorce (ten years)?",30.0,75.0,35.0,46.666666666666664,24.664414311581236,75.0,30.0,45.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If a prenuptial agreement calculates spousal support based on ""the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed,"" and there were two filings—seven years (withdrawn without service) and ten years (proceeding)—which petition date controls?",30.0,20.0,10.0,20.0,10.0,30.0,10.0,20.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","How should the term ""a Petition for Dissolution of Marriage is filed"" be interpreted in a prenuptial agreement when determining payment amounts: as referring to the chronologically first filing (seven years, withdrawn unserved) or the ultimately successful filing (ten years)?",40.0,75.0,20.0,45.0,27.83882181415011,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","Under a prenuptial agreement that bases payments on marriage duration ""at the time a Petition for Dissolution of Marriage is filed,"" when one spouse filed at seven years but withdrew without service, then filed again at ten years, which filing establishes the relevant marriage length?",30.0,25.0,20.0,25.0,5.0,30.0,20.0,10.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When a prenuptial agreement refers to ""a Petition for Dissolution of Marriage is filed"" for payment calculations, and there are two separate filings—one at seven years (withdrawn unserved) and one at ten years (proceeding)—does ""a Petition"" mean the first or the final petition?",30.0,15.0,20.0,21.666666666666668,7.637626158259733,30.0,15.0,15.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If spousal support under a prenuptial agreement is calculated based on ""the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed,"" should this reference the initial petition filed after seven years (withdrawn without service) or the subsequent petition filed after ten years?",30.0,75.0,10.0,38.333333333333336,33.291640592396966,75.0,10.0,65.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","A prenuptial agreement links payment amounts to marriage duration ""at the time a Petition for Dissolution of Marriage is filed."" When there are two filings—seven years (withdrawn before service) and ten years (leading to divorce)—which petition date should determine the calculation?",20.0,25.0,10.0,18.333333333333332,7.637626158259733,25.0,10.0,15.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","Does the language ""at the time a Petition for Dissolution of Marriage is filed"" in a prenuptial agreement refer to the first petition chronologically (filed at seven years but withdrawn unserved) or the petition that actually effectuates the divorce (filed at ten years)?",30.0,75.0,20.0,41.666666666666664,29.297326385411576,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When calculating payments under a prenuptial agreement that references ""the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed,"" should courts use the seven-year mark (first filing, withdrawn without service) or the ten-year mark (second filing, proceeding to completion)?",30.0,75.0,10.0,38.333333333333336,33.291640592396966,75.0,10.0,65.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If a prenuptial agreement determines spousal support based on years married ""at the time a Petition for Dissolution of Marriage is filed,"" and one party filed twice—once after seven years (withdrawn unserved) and once after ten years (proceeding)—which filing date should govern the payment calculation?",20.0,20.0,10.0,16.666666666666668,5.773502691896257,20.0,10.0,10.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","How should courts construe ""a Petition for Dissolution of Marriage is filed"" in a prenuptial agreement's payment provision when faced with multiple filings: the initial petition at seven years that was withdrawn without service, or the subsequent petition at ten years that led to the actual divorce?",30.0,75.0,20.0,41.666666666666664,29.297326385411576,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When interpreting a prenuptial agreement that calculates payments based on ""the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed,"" should the court consider the initial petition filed at seven years (but withdrawn without service) or the subsequent petition filed at ten years?",30.0,75.0,20.0,41.666666666666664,29.297326385411576,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","A couple's prenuptial agreement specifies payment amounts tied to marriage duration ""at the time a Petition for Dissolution of Marriage is filed."" If a spouse files for divorce after seven years but withdraws before serving, then refiles after ten years, which filing date governs the payment calculation?",30.0,75.0,20.0,41.666666666666664,29.297326385411576,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","How should courts interpret the phrase ""at the time a Petition for Dissolution of Marriage is filed"" in a prenuptial agreement when there are two filings - one withdrawn without service at seven years and another at ten years - for determining spousal payment amounts?",30.0,15.0,20.0,21.666666666666668,7.637626158259733,30.0,15.0,15.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","In a prenuptial agreement case where payment depends on years married ""when a Petition for Dissolution of Marriage is filed,"" does an unserved petition that was withdrawn after seven years still count as the relevant filing date, or does the later ten-year filing control?",30.0,75.0,5.0,36.666666666666664,35.47299442298794,75.0,5.0,70.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When a prenuptial agreement bases financial obligations on marriage length ""at the time a Petition for Dissolution of Marriage is filed,"" and there's both a withdrawn seven-year petition and a ten-year petition, which petition should be considered ""the"" petition for calculation purposes?",20.0,25.0,20.0,21.666666666666668,2.886751345948129,25.0,20.0,5.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","Does the definite article ""a"" in the prenuptial clause ""at the time a Petition for Dissolution of Marriage is filed"" refer to the chronologically first petition (seven years, withdrawn without service) or the ultimately effective petition (ten years) when determining payment amounts?",30.0,75.0,20.0,41.666666666666664,29.297326385411576,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If spouses have a prenuptial agreement linking payments to years married ""when a Petition for Dissolution of Marriage is filed,"" and one spouse files but withdraws at seven years then refiles at ten years, which filing date should determine the financial settlement?",30.0,75.0,95.0,66.66666666666667,33.291640592396966,95.0,30.0,65.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","In construing a prenuptial agreement that calculates support based on marriage duration ""at the time a Petition for Dissolution of Marriage is filed,"" should an initial filing that was withdrawn without service be treated as the operative filing date versus a later successful filing?",30.0,75.0,20.0,41.666666666666664,29.297326385411576,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When a prenuptial agreement's payment formula depends on ""the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed,"" how should courts handle a scenario with multiple filings - one withdrawn at seven years and one proceeding at ten years?",30.0,75.0,100.0,68.33333333333333,35.47299442298794,100.0,30.0,70.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","Should the withdrawal of an unserved divorce petition filed at seven years affect the interpretation of ""at the time a Petition for Dissolution of Marriage is filed"" in a prenuptial agreement when calculating payments based on a subsequent filing at ten years?",20.0,15.0,10.0,15.0,5.0,20.0,10.0,10.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","In a prenuptial agreement dispute where spousal payments are calculated using years married ""when a Petition for Dissolution of Marriage is filed,"" does filing and withdrawing at seven years establish the relevant date, or does the subsequent ten-year filing that proceeds control?",20.0,75.0,20.0,38.333333333333336,31.75426480542942,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","How do courts determine which petition constitutes ""a Petition for Dissolution of Marriage"" under a prenuptial agreement when one spouse files at seven years (withdrawn without service) and again at ten years for purposes of calculating marriage-duration-based payments?",30.0,75.0,65.0,56.666666666666664,23.629078131263043,75.0,30.0,45.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When interpreting prenuptial agreement language that ties financial obligations to ""the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed,"" should multiple filings result in using the earliest or the ultimately effective filing date?",60.0,75.0,60.0,65.0,8.660254037844387,75.0,60.0,15.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","If a prenuptial agreement specifies payments based on marriage length ""at the time a Petition for Dissolution of Marriage is filed,"" and there's an initial seven-year filing that's withdrawn plus a ten-year filing that proceeds, which date determines the payment calculation?",20.0,15.0,10.0,15.0,5.0,20.0,10.0,10.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","Does the phrase ""a Petition for Dissolution of Marriage is filed"" in a prenuptial agreement encompass only the petition that ultimately leads to divorce proceedings, or does it include earlier withdrawn petitions when determining years of marriage for payment purposes?",40.0,75.0,60.0,58.333333333333336,17.55942292142123,75.0,40.0,35.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","In cases where a prenuptial agreement calculates spousal support using years married ""when a Petition for Dissolution of Marriage is filed,"" should courts consider an unserved petition that was withdrawn (seven years) or only the petition that actually proceeds (ten years)?",20.0,75.0,20.0,38.333333333333336,31.75426480542942,75.0,20.0,55.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When a prenuptial agreement's financial terms depend on marriage duration ""at the time a Petition for Dissolution of Marriage is filed,"" and there are two filings separated by three years with the first withdrawn, which filing establishes the calculation date?",30.0,15.0,100.0,48.333333333333336,45.36885862938733,100.0,15.0,85.0
